Alpha \ BS,2^12,2^16,2^20,2^24
1,1.5,1.0,1.1,2.0
2,1.0,0.6,0.6,1.1
4,0.7,0.4,0.4,0.8
8,0.6,0.3,0.3,0.6
12,0.6,0.3,0.3,0.6
16,0.6,0.4,0.4,0.7
32,0.8,0.5,0.5,0.8
64,1.2,1.0,1.1,1.4
